Type,Date,Exercise / Meal,Category / Meal Type,Set Number,Reps,Weight (kg),Duration (hrs),Duration (mins),Total Duration (mins),Calories (kcal),Protein (g),Carbs (g),Fat (g),Sugar (g),Heart Rate (bpm),Foods,Notes,Logged At (UTC)
"Workout","2026-08-15","Pickleball","pickleball","1","","","2","18","138","1295","","","","","120","","","2026-08-15T19:19:42.844Z"
"Workout","2026-08-14","Outdoor Cycle","cardio","1","","","","47","47","518","","","","","141","","","2026-08-14T23:27:52.284Z"
"Workout","2026-08-14","Pickleball","pickleball","1","","","2","42","162","1290","","","","","110","","","2026-08-14T23:27:05.197Z"
"Nutrition","2026-08-13","Breakfast","Breakfast","","","","","","","990","39","145","30","73","","1serving Scrambled Eggs (2); 2serving French Toast; 2serving Banana; 330ml Coconut Water (250ml); 20g Collagen Powder; 20g Blueberries","","2026-08-13T20:24:34.494Z"
"Nutrition","2026-08-12","Snack","Snack","","","","","","","399","16","6","23","1","","50g Blue Cheese; 25g Salami; 1serving White Wine (150ml)","","2026-08-13T06:15:31.713Z"
"Nutrition","2026-08-12","Snack","Snack","","","","","","","331","8","7","33","1","","50g Walnuts","","2026-08-13T05:55:53.587Z"
"Nutrition","2026-08-12","Dinner","Dinner","","","","","","","1031","53","118","41","28","","2serving Clam Chowder; 200g Ravioli (Cheese); 100g Calamari (Fried); 25g M&Ms","","2026-08-13T05:55:01.600Z"
"Nutrition","2026-08-12","Lunch","Lunch","","","","","","","1220","55","206","21","77","","1serving Banana; 2serving Fish Tacos (2); 75g Pinto Beans (Cooked); 70g Basmati Rice (Cooked); 330ml Coconut Water (250ml); 1serving Banana; 40g Dates","","2026-08-13T05:54:06.139Z"
"Nutrition","2026-08-12","Breakfast","Breakfast","","","","","","","456","37","25","24","12","","1serving Scrambled Eggs (2); 25g Sausage (Pork); 10g Cheddar Cheese; 20g Collagen Peptides; 1serving Banana","","2026-08-13T05:52:34.676Z"
"Nutrition","2026-08-11","Lunch","Lunch","","","","","","","1300","50","150","79","","","1serving McDonald’s","","2026-08-12T06:46:53.329Z"
"Nutrition","2026-08-11","Dinner","Dinner","","","","","","","1163","53","170","15","12","","300g Tuna Sushi Roll; 300g Salmon Sushi Roll; 2serving Beer (350ml Regular)","","2026-08-12T06:47:40.020Z"
"Nutrition","2026-08-11","Snack","Snack","","","","","","","735","24","165","","127","","100g Dates; 1000ml Coconut Water (250ml)","","2026-08-12T06:48:10.058Z"
"Nutrition","2026-08-11","Breakfast","Breakfast","","","","","","","808","49","53","45","5","","1serving Bagel; 1serving Scrambled Eggs (2); 50g Bacon; 50g Spinach; 25g Cheddar Cheese","","2026-08-12T06:45:12.598Z"
"Nutrition","2026-08-11","Breakfast","Breakfast","","","","","","","495","34","76","8","35","","100g Greek Yogurt (Plain); 20g Collagen Peptides; 50g Blueberries; 30g Granola; 2serving Banana","","2026-08-12T06:44:31.824Z"
"Nutrition","2026-08-10","Breakfast","Breakfast","","","","","","","230","10","45","","30","","500ml Coconut Water (250ml)","","2026-08-11T06:21:45.948Z"
"Nutrition","2026-08-10","Dinner","Dinner","","","","","","","894","39","96","42","12","","3serving Pepperoni Pizza","","2026-08-11T06:21:17.488Z"
"Nutrition","2026-08-10","Lunch","Lunch","","","","","","","165","2","45","","40","","60g Dates","","2026-08-10T22:05:09.553Z"
"Nutrition","2026-08-10","Lunch","Lunch","","","","","","","700","40","65","","","","1serving Cava Bowl","","2026-08-10T23:58:13.177Z"
"Nutrition","2026-08-10","Dinner","Dinner","","","","","","","400","20","40","30","","",".3serving Fat Sals","","2026-08-10T20:20:08.315Z"
"Nutrition","2026-08-10","Breakfast","Breakfast","","","","","","","495","34","76","8","35","","100g Greek Yogurt (Plain); 20g Collagen Peptides; 50g Blueberries; 30g Granola; 2serving Banana","","2026-08-10T20:19:10.946Z"
"Nutrition","2026-08-09","Snack","Snack","","","","","","","157","15","10","6","10","","200ml Milk (Whole); 10g Collagen Peptides","","2026-08-10T04:32:04.922Z"
"Nutrition","2026-08-09","Dinner","Dinner","","","","","","","1250","60","120","88","","","1serving Fat Sals","","2026-08-10T04:31:32.426Z"
"Nutrition","2026-08-09","Lunch","Lunch","","","","","","","995","60","168","17","14","","3serving Salmon Sushi Roll; 4serving Tuna Sushi Roll","","2026-08-10T04:30:07.722Z"
"Nutrition","2026-08-09","Breakfast","Breakfast","","","","","","","571","31","75","18","33","","1.5serving Boiled Eggs (2); 50g Multigrain Bread; 1serving Banana; 3serving Coconut Water (250ml)","","2026-08-10T04:28:41.221Z"
"Workout","2026-08-09","Leg Press","legs","5","20","59","","","","","","","","","","","",""
"Workout","2026-08-09","Leg Press","legs","4","20","52","","","","","","","","","","","",""
"Workout","2026-08-09","Leg Press","legs","3","20","45","","","","","","","","","","","",""
"Workout","2026-08-09","Leg Press","legs","2","20","39","","","","","","","","","","","",""
"Workout","2026-08-09","Leg Press","legs","1","20","25","","","","","","","","","","","Equinox. Meniscus","2026-08-09T21:50:15.055Z"
"Workout","2026-08-09","Fly Machine","chest","3","10","86","","","","","","","","","","","",""
"Workout","2026-08-09","Fly Machine","chest","2","12","86","","","","","","","","","","","",""
"Workout","2026-08-09","Fly Machine","chest","1","12","86","","","","","","","","","","","YMCA","2026-08-09T21:39:02.313Z"
"Workout","2026-08-09","Hip Adductors","legs","4","10","88","","","","","","","","","","","",""
"Workout","2026-08-09","Hip Adductors","legs","3","13","88","","","","","","","","","","","",""
"Workout","2026-08-09","Hip Adductors","legs","2","15","86","","","","","","","","","","","",""
"Workout","2026-08-09","Hip Adductors","legs","1","15","79","","","","","","","","","","","Equinox","2026-08-09T21:31:49.526Z"
"Workout","2026-08-09","Hip Abductor Machine","legs","4","12","79","","","","","","","","","","","",""
"Workout","2026-08-09","Hip Abductor Machine","legs","3","15","72.5","","","","","","","","","","","",""
"Workout","2026-08-09","Hip Abductor Machine","legs","2","17","66","","","","","","","","","","","",""
"Workout","2026-08-09","Hip Abductor Machine","legs","1","15","66","","","","","","","","","","","Equinox","2026-08-09T21:24:04.276Z"
"Workout","2026-08-09","Bench Press","chest","4","4","84","","","","","","","","","","","",""
"Workout","2026-08-09","Bench Press","chest","3","5","84","","","","","","","","","","","",""
"Workout","2026-08-09","Bench Press","chest","2","10","79","","","","","","","","","","","",""
"Workout","2026-08-09","Bench Press","chest","1","10","61","","","","","","","","","","","","2026-08-09T21:17:49.009Z"
"Workout","2026-08-09","Abs","core","6","30","12","","","","","","","","","","","",""
"Workout","2026-08-09","Abs","core","5","30","12","","","","","","","","","","","",""
"Workout","2026-08-09","Abs","core","4","30","12","","","","","","","","","","","",""
"Workout","2026-08-09","Abs","core","3","20","12","","","","","","","","","","","",""
"Workout","2026-08-09","Abs","core","2","20","12","","","","","","","","","","","",""
"Workout","2026-08-09","Abs","core","1","20","12","","","","","","","","","","","","2026-08-09T21:06:19.964Z"
"Nutrition","2026-08-08","Dinner","Dinner","","","","","","","1276","51","76","21","10","","100g Grilled Salmon; 200g Seafood Pasta (Red Sauce); 6serving Vodka (1 shot)","","2026-08-10T04:35:16.689Z"
"Nutrition","2026-08-08","Lunch","Lunch","","","","","","","892","54","109","25","37","","75g Steak (Sirloin); 75g Butter Chicken; 50g White Rice (Cooked); 50g Lettuce (Romaine); 30g Corn; 40g Pinto Beans (Cooked); .5serving Tortilla (Flour); 25g Sour Cream; 500ml Coconut Water (250ml)","","2026-08-10T04:33:42.435Z"
"Nutrition","2026-08-08","Breakfast","Breakfast","","","","","","","495","34","76","8","35","","100g Greek Yogurt (Plain); 20g Collagen Peptides; 50g Blueberries; 30g Granola; 2serving Banana","","2026-08-10T04:32:59.045Z"
"Workout","2026-08-08","Pickleball","pickleball","1","","","","88","88","627","","","","","104","","","2026-08-10T18:37:08.584Z"
"Nutrition","2026-08-06","Snack","Snack","","","","","","","318","2","56","11","50","","300ml Gatorade (100ml); .5serving M&Ms","","2026-08-07T06:24:06.886Z"
"Nutrition","2026-08-06","Snack","Snack","","","","","","","250","10","37","7","24","","400ml Coconut Water (250ml); 10g Walnuts","","2026-08-07T06:18:12.676Z"
"Nutrition","2026-08-06","Breakfast","Breakfast","","","","","","","999","9","99","","","","300g Popcorn","","2026-08-07T06:16:55.967Z"
"Nutrition","2026-08-06","Dinner","Dinner","","","","","","","700","40","65","","","","1serving Cava Bowl","","2026-08-07T06:15:02.995Z"
"Nutrition","2026-08-06","Lunch","Lunch","","","","","","","700","47","63","33","","","1serving Philly Cheesesteak","","2026-08-06T19:00:58.419Z"
"Nutrition","2026-08-06","Breakfast","Breakfast","","","","","","","495","34","76","8","35","","100g Greek Yogurt (Plain); 20g Collagen Peptides; 50g Blueberries; 30g Granola; 2serving Banana","","2026-08-06T18:59:11.218Z"
"Nutrition","2026-08-05","Snack","Snack","","","","","","","345","15","68","","45","","750ml Coconut Water (250ml)","","2026-08-06T16:48:17.309Z"
"Nutrition","2026-08-05","Breakfast","Breakfast","","","","","","","462","3","39","","","","3serving Beer (355ml can)","","2026-08-06T16:46:30.581Z"
"Nutrition","2026-08-05","Dinner","Dinner","","","","","","","1236","83","118","46","14","","2serving Fish Tacos (2); 1.5serving Seafood Pasta (Red Sauce); 50g Burrata; 40g Prosciutto","","2026-08-06T16:20:39.096Z"
"Nutrition","2026-08-05","Lunch","Lunch","","","","","","","805","62","59","36","7","","250g Chicken Caesar Salad; .75serving Tortilla (Flour); 30g Caesar Dressing","","2026-08-05T22:56:22.135Z"
"Nutrition","2026-08-05","Breakfast","Breakfast","","","","","","","495","34","76","8","35","","100g Greek Yogurt (Plain); 20g Collagen Peptides; 50g Blueberries; 30g Granola; 2serving Banana","","2026-08-05T22:55:16.365Z"
"Nutrition","2026-08-04","Snack","Snack","","","","","","","407","10","52","18","32","","38g Cookie Dough; 15g Walnuts; 300ml Coconut Water (250ml)","","2026-08-05T06:37:06.121Z"
"Nutrition","2026-08-04","Lunch","Lunch","","","","","","","180","2","46","","24","","2serving Banana","","2026-08-05T04:41:27.127Z"
"Nutrition","2026-08-04","Lunch","Lunch","","","","","","","872","86","42","37","9","","10oz Steak (Sirloin); 60g French Fries; 30g Banana Bread","","2026-08-05T02:24:46.819Z"
"Nutrition","2026-08-04","Dinner","Dinner","","","","","","","1470","103","161","42","66","","1000ml Coconut Water (250ml); 300g Chicken Thigh; 125g Mac and Cheese; 75g White Rice (Cooked)","","2026-08-05T02:26:55.512Z"
"Nutrition","2026-08-04","Breakfast","Breakfast","","","","","","","434","43","31","16","","","1.5serving Boiled Eggs (2); 45g Whole Wheat Bread; 10g Collagen Peptides; 15g Whey Protein Powder; 1serving Americano","","2026-08-05T02:23:43.311Z"
"Workout","2026-08-04","Pickleball","pickleball","1","","","","101","101","1146","","","","","133","","","2026-08-10T18:38:26.536Z"
"Nutrition","2026-08-03","Snack","Snack","","","","","","","353","4","50","18","25","","25g Pecans; 2serving Banana","","2026-08-04T07:43:37.677Z"
"Nutrition","2026-08-03","Lunch","Lunch","","","","","","","913","64","81","36","8","","200g Chicken Thigh; 150g Mac and Cheese; 75g White Rice (Cooked)","","2026-08-03T23:47:33.423Z"
"Nutrition","2026-08-03","Lunch","Lunch","","","","","","","775","24","151","8","99","","38g Cookie Dough; 1serving Banana; 20g Dates; 1000ml Coconut Water (250ml)","","2026-08-03T23:46:47.590Z"
"Nutrition","2026-08-03","Lunch","Lunch","","","","","","","787","57","91","20","5","","150g Chicken Breast; 75g Basmati Rice (Cooked); 75g Mac and Cheese; 80g Tortilla (Flour)","","2026-08-03T23:45:40.788Z"
"Nutrition","2026-08-03","Breakfast","Breakfast","","","","","","","499","35","66","12","27","","1serving Banana; 100g Greek Yogurt (Plain); 50g Blueberries; 50g Granola; 20g Collagen Peptides","","2026-08-03T23:44:20.462Z"
"Workout","2026-08-03","Arms","biceps","1","1","","","38","38","270","","","","","118","","","2026-08-03T23:27:31.837Z"
"Workout","2026-08-03","Legs","legs","1","1","","","30","30","270","","","","","118","","","2026-08-03T23:27:07.934Z"
"Workout","2026-08-03","Hip Abductor Machine","legs","4","13","60","","","","","","","","","","","",""
"Workout","2026-08-03","Hip Abductor Machine","legs","3","15","60","","","","","","","","","","","",""
"Workout","2026-08-03","Hip Abductor Machine","legs","2","15","60","","","","","","","","","","","",""
"Workout","2026-08-03","Hip Abductor Machine","legs","1","15","60","","","","","","","","","","","","2026-08-03T23:25:18.513Z"
"Workout","2026-08-03","Hip Adductors","legs","4","10","58.5","","","","","","","","","","","",""
"Workout","2026-08-03","Hip Adductors","legs","3","12","58.5","","","","","","","","","","","",""
"Workout","2026-08-03","Hip Adductors","legs","2","13","58.5","","","","","","","","","","","",""
"Workout","2026-08-03","Hip Adductors","legs","1","15","50","","","","","","","","","","","YMCA Gym","2026-08-03T23:19:59.432Z"
"Workout","2026-08-03","Leg Press","legs","4","10","94.5","","","","","","","","","","","",""
"Workout","2026-08-03","Leg Press","legs","3","20","85.5","","","","","","","","","","","",""
"Workout","2026-08-03","Leg Press","legs","2","20","67.5","","","","","","","","","","","",""
"Workout","2026-08-03","Leg Press","legs","1","20","50","","","","","","","","","","","","2026-08-03T23:13:10.240Z"
"Workout","2026-08-03","Barbell Curls","biceps","3","7","38.5","","","","","","","","","","","",""
"Workout","2026-08-03","Barbell Curls","biceps","2","8","38.5","","","","","","","","","","","",""
"Workout","2026-08-03","Barbell Curls","biceps","1","10","38.5","","","","","","","","","","","","2026-08-03T22:51:02.721Z"
"Workout","2026-08-03","Face Pull","shoulders","4","13","29","","","","","","","","","","","",""
"Workout","2026-08-03","Face Pull","shoulders","3","13","27","","","","","","","","","","","",""
"Workout","2026-08-03","Face Pull","shoulders","2","15","23","","","","","","","","","","","",""
"Workout","2026-08-03","Face Pull","shoulders","1","20","17","","","","","","","","","","","","2026-08-03T22:36:44.758Z"
"Workout","2026-08-03","Hammer Curls","biceps","4","16","20.5","","","","","","","","","","","",""
"Workout","2026-08-03","Hammer Curls","biceps","3","18","20.5","","","","","","","","","","","",""
"Workout","2026-08-03","Hammer Curls","biceps","2","16","20.5","","","","","","","","","","","",""
"Workout","2026-08-03","Hammer Curls","biceps","1","20","14","","","","","","","","","","","","2026-08-03T22:26:50.917Z"
"Workout","2026-08-03","Abs","core","12","20","","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","11","20","","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","10","20","","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","9","30","10","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","8","30","10","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","7","30","10","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","6","20","10","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","5","20","10","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","4","20","10","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","3","15","10","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","2","15","10","","","","","","","","","","","",""
"Workout","2026-08-03","Abs","core","1","15","10","","","","","","","","","","","","2026-08-03T22:14:41.727Z"
"Nutrition","2026-07-31","Dinner","Dinner","","","","","","","270","14","21","14","4","",".5serving Beef Burger","","2026-08-01T08:03:31.752Z"
"Nutrition","2026-07-31","Breakfast","Breakfast","","","","","","","300","","6","","3","","3serving Seltzer / Hard Soda (350ml)","","2026-08-01T07:43:07.760Z"
"Nutrition","2026-07-31","Dinner","Dinner","","","","","","","840","22","161","14","109","","2serving Banana; 38g Cookie Dough; 200ml Milk (Whole); 50g Blueberries; 500ml Coconut Water (250ml); 40g Dates","","2026-08-01T07:42:47.630Z"
"Nutrition","2026-07-31","Lunch","Lunch","","","","","","","1082","51","118","45","19","","150g Fried Chicken; 150g Gravy (Brown); 2serving Waffles","","2026-08-01T07:41:24.447Z"
"Nutrition","2026-07-31","Breakfast","Breakfast","","","","","","","624","42","79","17","34","","2serving Banana; 1serving Scrambled Eggs (2); 43g Multigrain Bread; 50g Greek Yogurt (Plain); 20g Collagen Peptides; 75ml Blueberries","","2026-07-31T18:38:23.210Z"
"Nutrition","2026-07-30","Snack","Snack","","","","","","","261","6","31","12","22","","38g Cookie Dough; 150ml Milk (Whole)","","2026-07-31T06:56:06.860Z"
"Nutrition","2026-07-30","Snack","Snack","","","","","","","110","2","30","","27","","40g Dates","","2026-07-31T05:28:16.816Z"
"Nutrition","2026-07-30","Dinner","Dinner","","","","","","","742","21","87","4","4","","2serving Tuna Sushi; 3serving Beer (355ml can)","","2026-07-31T05:27:29.973Z"
"Nutrition","2026-07-30","Protein","Protein","","","","","","","272","47","11","4","6","","45g Whey Protein Powder; 10g Collagen Peptides; 100ml Milk (Whole)","","2026-07-31T00:48:54.501Z"
"Nutrition","2026-07-30","Lunch","Lunch","","","","","","","218","4","26","11","22","","1serving Ice Cream (Chocolate)","","2026-07-30T20:27:04.363Z"
"Nutrition","2026-07-30","Lunch","Lunch","","","","","","","149","4","26","4","16","","1serving Berry Smoothie; 10g Chia Seeds","","2026-07-30T20:26:31.188Z"
"Nutrition","2026-07-30","Lunch","Lunch","","","","","","","651","40","63","27","12","","225g Butter Chicken; 150g White Rice (Cooked); 50g Broccoli","","2026-07-30T20:26:11.052Z"
"Nutrition","2026-07-30","Breakfast","Breakfast","","","","","","","624","42","79","17","34","","2serving Banana; 1serving Scrambled Eggs (2); 43g Multigrain Bread; 50g Greek Yogurt (Plain); 20g Collagen Peptides; 75ml Blueberries","","2026-07-30T20:24:42.731Z"
"Nutrition","2026-07-29","Lunch","Lunch","","","","","","","220","3","60","","54","","80g Dates","","2026-07-30T05:05:51.255Z"
"Nutrition","2026-07-29","Snack","Snack","","","","","","","76","4","6","4","6","","125ml Milk (Whole)","","2026-07-30T05:02:12.557Z"
"Nutrition","2026-07-29","Breakfast","Breakfast","","","","","","","170","2","23","8","14","","38g Cookie Dough","","2026-07-30T05:00:47.263Z"
"Nutrition","2026-07-29","Dinner","Dinner","","","","","","","1250","52","108","44","5","","150g Beef Brisket (Slow); 1serving White Bread; 80g French Fries; 2serving Beer (350ml Regular)","","2026-07-30T05:00:14.190Z"
"Nutrition","2026-07-29","Protein","Protein","","","","","","","160","34","4","1","1","","32g Whey Protein Powder; 10g Collagen Peptides","","2026-07-30T00:06:18.377Z"
"Nutrition","2026-07-29","Snack","Snack","","","","","","","170","2","23","8","14","","38g Cookie Dough","","2026-07-30T00:05:22.592Z"
"Nutrition","2026-07-29","Snack","Snack","","","","","","","230","10","45","","30","","500ml Coconut Water (250ml)","","2026-07-30T00:00:51.404Z"
"Nutrition","2026-07-29","Lunch","Lunch","","","","","","","855","52","66","44","14","","150g BBQ Chicken Wings; 125g Mac and Cheese; 25g White Rice (Cooked)","","2026-07-29T20:45:32.547Z"
"Nutrition","2026-07-29","Breakfast","Breakfast","","","","","","","624","42","79","17","34","","2serving Banana; 1serving Scrambled Eggs (2); 43g Multigrain Bread; 50g Greek Yogurt (Plain); 20g Collagen Peptides; 75ml Blueberries","","2026-07-29T17:57:13.180Z"
"Workout","2026-07-29","Pickleball","pickleball","1","","","1","53","113","1235","","","","","128","","","2026-07-29T23:21:10.223Z"
"Workout","2026-07-29","Indoor Cycle","cardio","1","","","","15","15","215","","","","","149","","","2026-07-29T00:51:27.238Z"
"Workout","2026-07-29","Plate Side Bends","shoulders","3","10","32","","","","","","","","","","","",""
"Workout","2026-07-29","Plate Side Bends","shoulders","2","10","32","","","","","","","","","","","",""
"Workout","2026-07-29","Plate Side Bends","shoulders","1","10","32","","","","","","","","","","","YMCA","2026-07-29T00:35:29.832Z"
"Workout","2026-07-29","Shoulder Shrugs","shoulders","3","15","32","","","","","","","","","","","",""
"Workout","2026-07-29","Shoulder Shrugs","shoulders","2","15","32","","","","","","","","","","","",""
"Workout","2026-07-29","Shoulder Shrugs","shoulders","1","18","32","","","","","","","","","","","","2026-07-29T00:35:03.256Z"
"Workout","2026-07-29","Rear Delt Fly Machine","shoulders","3","8","67.5","","","","","","","","","","","",""
"Workout","2026-07-29","Rear Delt Fly Machine","shoulders","2","12","58.5","","","","","","","","","","","",""
"Workout","2026-07-29","Rear Delt Fly Machine","shoulders","1","15","40.5","","","","","","","","","","","YMCA","2026-07-29T00:21:37.502Z"
"Workout","2026-07-29","Fly Machine","chest","3","6","85.5","","","","","","","","","","","",""
"Workout","2026-07-29","Fly Machine","chest","2","9","85.5","","","","","","","","","","","",""
"Workout","2026-07-29","Fly Machine","chest","1","12","85.5","","","","","","","","","","","YMCA","2026-07-29T00:14:28.195Z"
"Nutrition","2026-07-28","Protein","Protein","","","","","","","170","25","9","4","6","","28g Whey Protein Powder; 100ml Milk (Whole)","","2026-07-29T05:38:51.903Z"
"Nutrition","2026-07-28","Protein","Protein","","","","","","","70","18","","","","","20g Collagen Peptides","Collagen peptides (bovine) 20g","2026-07-29T05:38:14.514Z"
"Nutrition","2026-07-28","Snack","Snack","","","","","","","90","1","23","","12","","1serving Banana","","2026-07-29T05:35:45.012Z"
"Nutrition","2026-07-28","Dinner","Dinner","","","","","","","892","54","109","25","37","","75g Steak (Sirloin); 75g Butter Chicken; 50g White Rice (Cooked); 50g Lettuce (Romaine); 30g Corn; 40g Pinto Beans (Cooked); .5serving Tortilla (Flour); 25g Sour Cream; 500ml Coconut Water (250ml)","","2026-07-29T02:20:14.969Z"
"Nutrition","2026-07-28","Lunch","Lunch","","","","","","","892","54","109","25","37","","75g Steak (Sirloin); 75g Butter Chicken; 50g White Rice (Cooked); 50g Lettuce (Romaine); 30g Corn; 40g Pinto Beans (Cooked); .5serving Tortilla (Flour); 25g Sour Cream; 500ml Coconut Water (250ml)","","2026-07-29T02:19:55.445Z"
"Nutrition","2026-07-28","Breakfast","Breakfast","","","","","","","968","57","69","51","19","","1serving Bagel; 1serving Scrambled Eggs (2); 50g Bacon; 50g Spinach; 25g Cheddar Cheese; 2serving Cappuccino","","2026-07-28T18:22:27.381Z"
"Nutrition","2026-07-28","Breakfast","Breakfast","","","","","","","174","2","45","","29","","1serving Banana; 20g Dates; 50ml Blueberries","","2026-07-28T17:26:33.871Z"
"Workout","2026-07-28","Tricep Pushdowns","triceps","4","12","33","","","","","","","","","","","",""
"Workout","2026-07-28","Tricep Pushdowns","triceps","3","12","31.5","","","","","","","","","","","",""
"Workout","2026-07-28","Tricep Pushdowns","triceps","2","13","28.5","","","","","","","","","","","",""
"Workout","2026-07-28","Tricep Pushdowns","triceps","1","15","22.5","","","","","","","","","","","YMCA","2026-07-29T00:07:00.606Z"
"Workout","2026-07-28","Chest Press Cables","chest","3","7","50","","","","","","","","","","","",""
"Workout","2026-07-28","Chest Press Cables","chest","2","12","43","","","","","","","","","","","",""
"Workout","2026-07-28","Chest Press Cables","chest","1","15","30","","","","","","","","","","","","2026-07-28T23:59:24.276Z"
"Workout","2026-07-28","Chest Incline Cable Machine","chest","3","10","30","","","","","","","","","","","",""
"Workout","2026-07-28","Chest Incline Cable Machine","chest","2","12","27","","","","","","","","","","","",""
"Workout","2026-07-28","Chest Incline Cable Machine","chest","1","12","20","","","","","","","","","","","","2026-07-28T23:53:06.262Z"
"Workout","2026-07-28","Bench Press","chest","4","8","80","","","","","","","","","","","",""
"Workout","2026-07-28","Bench Press","chest","3","8","80","","","","","","","","","","","",""
"Workout","2026-07-28","Bench Press","chest","2","10","70","","","","","","","","","","","",""
"Workout","2026-07-28","Bench Press","chest","1","12","60","","","","","","","","","","","","2026-07-28T23:44:50.721Z"
"Workout","2026-07-28","Abs","core","12","30","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","11","30","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","10","30","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","9","10","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","8","10","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","7","10","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","6","10","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","5","10","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","4","10","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","3","20","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","2","20","10","","","","","","","","","","","",""
"Workout","2026-07-28","Abs","core","1","20","10","","13","13","","","","","","","","","2026-07-28T23:31:37.986Z"
"Nutrition","2026-07-27","Dinner","Dinner","","","","","","","1033","99","94","29","10","","300g Chicken Breast; 75g Tortilla (Flour); 100g Mac and Cheese; 100g Baby Corn","","2026-07-28T04:11:16.708Z"
"Nutrition","2026-07-27","Protein","Protein","","","","","","","242","48","8","2","2","","62g Whey Protein Powder","","2026-07-28T02:34:11.620Z"
"Nutrition","2026-07-27","Lunch","Lunch","","","","","","","1112","74","118","33","60","","3serving Salmon Poke Bowl; 100g White Rice (Cooked); 1000ml Coconut Water (250ml)","","2026-07-28T02:33:34.706Z"
"Nutrition","2026-07-27","Breakfast","Breakfast","","","","","","","78","6","1","5","","","1serving Boiled Egg","","2026-07-27T20:14:59.872Z"
"Nutrition","2026-07-27","Breakfast","Breakfast","","","","","","","857","19","171","16","119","","1serving Acai Bowl; 1.5serving Cappuccino; 1serving Banana; 80g Dates; 150g Cherry Tomatoes; 100g Blueberries","","2026-07-27T20:04:40.861Z"
"Workout","2026-07-27","PT - Meniscus","legs","1","1","","","30","30","250","","","","","138","","","2026-07-27T23:45:37.435Z"
"Workout","2026-07-27","Arms","biceps","1","1","","","40","40","400","","","","","138","","","2026-07-27T23:45:20.582Z"
"Workout","2026-07-27","Hip Adductors","legs","4","12","58.5","","","","","","","","","","","",""
"Workout","2026-07-27","Hip Adductors","legs","3","12","58.5","","","","","","","","","","","",""
"Workout","2026-07-27","Hip Adductors","legs","2","15","55","","","","","","","","","","","",""
"Workout","2026-07-27","Hip Adductors","legs","1","15","40","","","","","","","","","","","YMCA Gym","2026-07-27T23:44:43.465Z"
"Workout","2026-07-27","Hip Abductor Machine","legs","4","13","60","","","","","","","","","","","",""
"Workout","2026-07-27","Hip Abductor Machine","legs","3","15","60","","","","","","","","","","","",""
"Workout","2026-07-27","Hip Abductor Machine","legs","2","15","60","","","","","","","","","","","",""
"Workout","2026-07-27","Hip Abductor Machine","legs","1","15","60","","","","","","","","","","","","2026-07-27T23:38:10.584Z"
"Workout","2026-07-27","Incline Dumbbell Curl","biceps","4","12","16","","","","","","","","","","","",""
"Workout","2026-07-27","Incline Dumbbell Curl","biceps","3","12","16","","","","","","","","","","","",""
"Workout","2026-07-27","Incline Dumbbell Curl","biceps","2","12","16","","","","","","","","","","","",""
"Workout","2026-07-27","Incline Dumbbell Curl","biceps","1","20","15","","","","","","","","","","","YMCA gym","2026-07-27T23:33:21.674Z"
"Workout","2026-07-27","Pull-ups","back","3","10","","","","","","","","","","","","",""
"Workout","2026-07-27","Pull-ups","back","2","10","","","","","","","","","","","","",""
"Workout","2026-07-27","Pull-ups","back","1","10","","","","","","","","","","","","","2026-07-27T23:19:19.181Z"
"Workout","2026-07-27","Cable Lateral Raise","shoulders","3","10","10","","","","","","","","","","","",""
"Workout","2026-07-27","Cable Lateral Raise","shoulders","2","10","10","","","","","","","","","","","",""
"Workout","2026-07-27","Cable Lateral Raise","shoulders","1","10","10","","","","","","","","","","","Each arm","2026-07-27T23:19:06.393Z"
"Workout","2026-07-27","Hammer Curls","biceps","4","16","20.5","","","","","","","","","","","",""
"Workout","2026-07-27","Hammer Curls","biceps","3","16","20.5","","","","","","","","","","","",""
"Workout","2026-07-27","Hammer Curls","biceps","2","16","20.5","","","","","","","","","","","",""
"Workout","2026-07-27","Hammer Curls","biceps","1","20","16","","","","","","","","","","","","2026-07-27T23:07:05.060Z"
