Type,Date,Exercise / Meal,Category / Meal Type,Set Number,Reps,Weight (kg),Duration (hrs),Duration (mins),Total Duration (mins),Calories (kcal),Protein (g),Carbs (g),Fat (g),Sugar (g),Heart Rate (bpm),Foods,Notes,Logged At (UTC)
"Workout","2026-06-12","Tricep Dip Machine","triceps","4","10","72.5","","","","","","","","","","","",""
"Workout","2026-06-12","Tricep Dip Machine","triceps","3","10","72.5","","","","","","","","","","","",""
"Workout","2026-06-12","Tricep Dip Machine","triceps","2","10","72.5","","","","","","","","","","","",""
"Workout","2026-06-12","Tricep Dip Machine","triceps","1","15","57.5","","","","","","","","","","","","2026-06-12T05:26:30.900Z"
"Workout","2026-06-12","Leg Extension","legs","4","17","30","","","","","","","","","","","",""
"Workout","2026-06-12","Leg Extension","legs","3","17","30","","","","","","","","","","","",""
"Workout","2026-06-12","Leg Extension","legs","2","18","30","","","","","","","","","","","",""
"Workout","2026-06-12","Leg Extension","legs","1","20","22.5","","","","","","","","","","","Knee injury","2026-06-12T05:19:25.452Z"
"Workout","2026-06-12","Tricep Overhead Ropes","triceps","4","10","40","","","","","","","","","","","",""
"Workout","2026-06-12","Tricep Overhead Ropes","triceps","3","11","40","","","","","","","","","","","",""
